State_Name,State_Code,EV_Registrations_2018,Total_Automobiles,Total_All_Vehicles,EV_Pct_of_Automobiles,EV_Pct_of_All_Vehicles,EV_Adoption_Tier,Total_MWH,Renewable_MWH,Fossil_MWH,Renewable_Pct,Fossil_Pct,Nuclear_Pct,Renewable_Category,MWH_Coal,MWH_Natural_Gas,MWH_Petroleum,MWH_Nuclear,MWH_Hydro,MWH_Wind,MWH_Solar,MWH_Geothermal,MWH_Other_Biomass,MWH_Wood,MWH_Other_Gases,MWH_Other,MWH_Pumped_Storage
Alabama,AL,1450,2161212.0,5300199.0,0.0671,0.0274,Low,145057994,14946770,90643643,10.3,62.49,27.2,Low Renewable,31777520,58800419,65704,39462827,11143139,0,357252,0,37672,3408707,4804,-49,0
Alaska,AK,530,183270.0,803684.0,0.2892,0.0659,Low,6247359,1864714,4385744,29.85,70.2,0.0,Medium Renewable,628564,2947902,809278,0,1664225,155015,0,0,45474,0,0,-3100,0
Arizona,AZ,15000,2391772.0,5806313.0,0.6272,0.2583,Medium,111925144,12872304,67962644,11.5,60.72,27.78,Low Renewable,30744623,37168075,49946,31097259,6982242,530190,5140377,0,37375,182120,0,-2536,-4526
Arkansas,AR,520,921161.0,2817145.0,0.0565,0.0185,Low,67999352,4577878,50655323,6.73,74.49,18.71,Low Renewable,29996101,20623705,35517,12720818,3008775,0,203413,0,74950,1290740,0,5087,40245
California,CA,256800,15065827.0,31022328.0,1.7045,0.8278,High,195465638,84963056,90154909,43.47,46.12,9.32,Medium Renewable,281328,89804703,68878,18213519,26330667,14023951,26985177,11676841,2823849,3122571,1453960,828768,-148574
Colorado,CO,11700,1798177.0,5356018.0,0.6507,0.2184,Medium,55386279,12797342,42792381,23.11,77.26,0.0,Medium Renewable,26382060,16398439,11882,0,1825385,9745150,1062380,0,75788,88639,0,59292,-262738
Connecticut,CT,4450,1306709.0,2879802.0,0.3406,0.1545,Low,39453552,1428739,20675115,3.62,52.4,42.79,Low Renewable,329701,20006457,338957,16881492,555319,12295,105555,0,494699,260871,0,464733,3471
Delaware,DE,720,433363.0,1008468.0,0.1661,0.0714,Low,6240644,114097,5874367,1.83,94.13,0.0,Low Renewable,273388,5400155,200824,0,0,5207,49789,0,59101,0,252180,0,0
District Of Columbia,DC,970,0.0,0.0,0.0,0.0,Low,79331,56561,22770,71.3,28.7,0.0,High Renewable,0,22770,0,0,0,0,0,0,56561,0,0,0,0
Florida,FL,25200,7966091.0,17496002.0,0.3163,0.144,High,244252035,7729105,204221773,3.16,83.61,12.0,Low Renewable,30272201,171872214,2077358,29312349,232574,0,2412063,0,2568988,2515480,5488,2983320,0
Georgia,GA,15300,3557469.0,8512550.0,0.4301,0.1797,Medium,129239371,10691262,84588399,8.27,65.45,26.59,Low Renewable,32180555,51972110,435734,34362676,3696868,0,1995837,0,340938,4657619,0,85789,-488754
